Definition,Sentence
Registry,"The Commission should promote cooperation between the Registry, the European Union Intellectual Property Office (EUIPO) and other Union agencies, with a view to combating the speculative and abusive registrations of domain names, including cybersquatting, and providing simple administrative procedures, in particular for small and medium-sized enterprises (SMEs)."
Registry,"To ensure the better protection of the right of the parties to contract with, respectively, the Registry and Registrars, disputes with regard to the registration of domain names in the .eu TLD should be solved by bodies located in the Union applying the relevant national law, without prejudice to rights and obligations recognised by the Member States or by the Union arising from international instruments."
Registry,"The Commission should, on the basis of an open, transparent and non-discriminatory selection procedure, having regard to cost-efficiency and administrative simplicity, designate a Registry for the .eu TLD. In order to support the digital single market, to build an online European identity and to encourage cross-border online activities, the power to adopt acts in accordance with Article 290 TFEU should be delegated to the Commission in respect of the eligibility and selection criteria and the procedure for the designation of the Registry. It is of particular importance that the Commission carry out appropriate consultations during its preparatory work, including at expert level, and that those consultations be conducted in accordance with the principles laid down in the Interinstitutional Agreement of 13 April 2016 on Better Law-Making (5). In particular, to ensure equal participation in the preparation of delegated acts, the European Parliament and the Council receive all documents at the same time as Member States' experts, and their experts systematically have access to meetings of Commission expert groups dealing with the preparation of delegated acts."
Registry,"In order to ensure uniform conditions for the implementation of this Regulation, implementing powers should be conferred on the Commission to adopt the lists of reserved and blocked domain names by Member States, to establish the principles that are to be included in the contract between the Commission and the Registry and to designate the Registry on duly justified imperative grounds of urgency, in particular to ensure the continuity of the service. Those powers should be exercised in accordance with Regulation (EU) No 182/2011 of the European Parliament and of the Council (6). Such lists should be compiled subject to the domain names' availability taking into account domain names at second level already reserved or registered by the Member States."
Registry,"The Commission should enter into a contract with the designated Registry, which should include the detailed principles and procedures that apply to the Registry for the organisation, administration and management of the .eu TLD. The contract should be of a fixed duration and should be renewable once without the need for a new selection procedure."
Registry,"The principles and procedures relating to the functioning of the .eu TLD should be annexed to the contract between the Commission and the designated Registry."
Registry,"The Registry should comply with the principles of non-discrimination and transparency, and should implement measures to safeguard fair competition that are to be authorised in advance by the Commission, in particular when the Registry provides services to undertakings with whom it competes on downstream markets."
Registry,"The Internet Corporation for Assigned Names and Numbers (ICANN) is at present responsible for coordinating the delegation of codes representing ccTLD to Registries. The Registry should enter into an appropriate contract with ICANN that provides for the delegation of the .eu ccTLD code, taking account of the relevant principles adopted by the Governmental Advisory Committee (GAC)."
Registry,"The Registry should enter into an appropriate escrow agreement to ensure continuity of service, and in particular to ensure that it is possible to continue to provide services to the local internet community with minimum disruption in the event of re-delegation or other unforeseen circumstances. The Registry should submit an electronic copy of the current content of the .eu TLD database to the escrow agent on a daily basis."
Registry,"The policy on the abusive registration of .eu domain names should provide for verification by the Registry of the data that it receives, specifically data concerning the identity of registrants, as well as revocation and blocking from future registration of domain names considered by a final decision of a Member State court to be defamatory, racist or otherwise contrary to the law of the Member State. The Registry should take the utmost care to ensure the correctness of the data that it receives and holds. The revocation procedure should allow the domain name holder a reasonable opportunity to rectify any breach of the eligibility criteria, registration requirements or outstanding debts before the revocation is to take effect."
Registry,"The Registry should adopt clear policies aiming to ensure the timely identification of abusive registrations of domain names and, where necessary, should cooperate with competent authorities and other public bodies relevant to cybersecurity and information security which are specifically involved in the fight against such registrations, such as national computer emergency response teams (CERTs)."
Registry,"The Registry should support law enforcement agencies in the fight against crime, by implementing technical and organisational measures aimed at enabling competent authorities to have access to the data in the Registry for purposes of the prevention, detection, investigation and prosecution of crimes, as provided for by Union or national law."
Registry,"This Regulation should be implemented in compliance with the principles relating to privacy and the protection of personal data. The Registry should comply with the relevant Union data protection rules, principles and guidelines, in particular with the relevant security requirements, with the principles of necessity, proportionality, purpose limitation and proportionate data retention period. Also, personal data protection by design and data protection by default should be embedded in all data-processing systems and databases developed and maintained."
Registry,"In order to ensure effective periodic supervision, the Registry should be audited at its own expense at least every two years by an independent body with the purpose of confirming, by means of a conformity assessment report, that the Registry complies with the requirements laid down in this Regulation. The Registry should submit that report to the Commission in accordance with its contract with the Commission."
Registry,"The contract between the Commission and the Registry should provide for procedures to improve the organisation, administration and management of the .eu TLD by the Registry in accordance with the instructions of the Commission resulting from the Commission's supervisory activities as provided for in this Regulation."
Registry,"A .eu Multistakeholder Advisory Group should be set up with the role of advising the Commission in order to strengthen and widen input into the good governance of the Registry. The Group should reflect the internet governance multistakeholder model, and its members, apart from those drawn from Member State authorities and international organisations, should be appointed by the Commission on the basis of an open, non-discriminatory and transparent procedure. The representatives drawn from the Member State authorities should be appointed on the basis of a rotation system ensuring sufficient continuity of participation in the Group."
Registry,"The Commission should carry out an evaluation of the effectiveness and functioning of the .eu TLD. That evaluation should have regard to the designated Registry working practices and the relevance of the Registry's tasks. The Commission should also submit regular reports on the functioning of the .eu TLD name to the European Parliament and to the Council."
Registry,"This Regulation respects the fundamental rights and observes the principles recognised in the Charter of Fundamental Rights of the European Union (the ‘Charter’), as enshrined in the Treaties, in particular the protection of personal data, the freedom of expression and information, and the protection of consumers. Appropriate Union procedures should be observed when ensuring that provisions in national law that affect this Regulation comply with Union law and, in particular, the Charter. The Registry should seek guidance from the Commission in cases of doubt with regard to compliance with Union law."
Registry,"1.   This Regulation implements the .eu country code top-level domain (‘ccTLD’) and its available variants in other scripts, in order to support the digital single market, to build an online Union identity and to encourage cross-border online activities. It also lays down the conditions for its implementation, including the designation and characteristics of the Registry. This Regulation also establishes the legal and general policy framework within which the designated Registry is to function."
Registry,"‘Registry’ means the entity entrusted with the organisation, administration and management of the .eu TLD, including the maintenance of the corresponding databases and the associated public query services, the registration of domain names, the operation of the Registry of domain names, the operation of the Registry's TLD name servers, and the distribution of TLD zone files across name servers;"
Registry,"‘Registrar’ means a natural or legal person that, on the basis of a contract with the Registry, provides domain name registration services to registrants;"
Registry,"‘registration’ means the series of acts and procedural steps, from initiation to completion, taken by Registrars and the Registry upon the request of a natural or legal person for the purpose of implementing the registration of a domain name for a specified duration."
Registry,"1.   A domain name shall be allocated to the eligible party whose request was first received by the Registry in the technically correct manner as laid down by the procedures for registration requests on the basis of point (b) of Article 11."
Registry,"3.   The Registry may revoke a domain name at its own initiative, without submitting the dispute to an ADR or judicial procedure, on the following grounds:"
Registry,"there are outstanding unpaid debts owed to the Registry;"
Registry,"5.   Where a domain name is found by a decision of a court of a Member State to be defamatory, racist or contrary to public policy or public security under Union law, or national law that complies with Union law, that domain name shall be blocked by the Registry upon notification of the court's decision and shall be revoked upon notification of the final court decision. The Registry shall block from future registration those domain names which have been subject to such a court order for as long as that order remains valid."
Registry,"2.   Without prejudice to Regulation (EU) No 1215/2012 of the European Parliament and of the Council (8) or to the rights and obligations recognised by the Member States or by the Union that arise from international instruments, neither contracts between the Registry and Registrars nor contracts between Registrars and registrants of domain names shall designate a law other than that of one of the Member States as the applicable law, nor shall they designate a court, arbitration court or other body located outside the Union as the relevant dispute resolution body."
Registry,"1.   The Registry may reserve or register a number of domain names considered necessary for its operational functions under the contract referred to in Article 8(4)."
Registry,"2.   The Commission may instruct the Registry to reserve or to register a domain name directly under the .eu TLD for use by the Union institutions and bodies."
Registry,"1.   The Registry shall accredit Registrars in accordance with reasonable, transparent and non-discriminatory accreditation procedures which have been approved in advance by the Commission. The Registry shall make the accreditation procedures publicly available in readily accessible form."
Registry,"2.   The Registry shall apply equivalent conditions in equivalent circumstances in relation to accredited .eu Registrars that provide equivalent services. The Registry shall provide those Registrars with services and information under the same conditions, and of the same quality, as provided for its own equivalent services."
Registry,"1.   The Commission shall adopt delegated acts in accordance with Article 18 to supplement this Regulation by establishing the eligibility and selection criteria and the procedure for the designation of the Registry."
Registry,"2.   The Commission shall set out the principles to be included in the contract between the Commission and the Registry, by means of implementing acts. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 17(2)."
Registry,"3.   The Commission shall designate an entity as the Registry following the completion of the procedure referred to in paragraphs 1 and 2."
Registry,"4.   The Commission shall enter into a contract with the designated Registry. The contract shall specify the rules, policies and procedures for the provision of services by the Registry and the conditions according to which the Commission is to supervise the organisation, administration and management of the .eu TLD by the Registry. The contract shall be limited in time and shall be renewable once without the need to organise a new selection procedure. The contract shall reflect the obligations of the Registry and shall include the principles and procedures on the functioning of the .eu TLD laid down on the basis of Articles 10 and 11."
Registry,"5.   By way of derogation from paragraphs 1, 2 and 3, the Commission may, where imperative grounds of urgency exist, designate the Registry by means of immediately applicable implementing acts in accordance with the procedure referred to in Article 17(3)."
Registry,"1.   The Registry shall be a not-for-profit organisation. It shall have its registered office, central administration and principal place of business within the territory of the Union."
Registry,"2.   The Registry may impose fees. Those fees shall be directly related to the costs incurred."
Registry,"The Registry shall be required to:"
Registry,"ensure, without prejudice to any court proceedings, and subject to adequate procedural guarantees for the parties concerned, the possibility for Registrars and registrants to resolve any contractual dispute with the Registry by means of ADR;"
Registry,"The contract, concluded between the Commission and the designated Registry in accordance with Article 8(4) shall contain the principles and procedures concerning the functioning of the .eu TLD, in compliance with this Regulation, including the following:"
Registry,"measures to enable competent authorities to have access to data in the Registry for the purposes of prevention, detection, investigation and prosecution of crime, as provided by Union law or national law that complies with Union law, subject to appropriate checks and balances;"
